;0;1;2;3;4;5
0;-6.6;4.0;-6.6;4.0;21.0;27.6
1;0.7;32.8;0.7;32.8;0.7;65.4
2;9.3;0.0;26.9;9.3;41.5;26.9
3;38.6;38.6;59.6;1.7;1.7;1.7
4;64.3;2.8;2.8;16.2;16.2;23.0
5;2.5;8.3;-2.0;8.3;-2.0;56.3
6;4.1;0.0;-3.1;-3.1;-3.1;-3.1
7;44.4;44.4;44.4;16.0;16.0;16.0
8;1.2;0.0;3.4;0.0;3.4;3.4
9;5.3;0.0;0.0;29.3;1.1;1.1
10;48.4;48.4;48.4;4.7;4.7;4.7
11;1.1;6.3;1.1;6.3;1.1;56.6
12;4.0;5.6;4.0;10.3;1.2;-10.4
13;0.0;0.0;5.6;4.7;3.9;14.2
14;36.4;36.2;4.8;-2.2;2.6;-2.2
15;-6.8;31.1;-6.8;-2.0;-8.8;-2.0
16;4.5;0.0;-5.2;0.0;-5.2;62.0
17;50.1;50.1;50.1;50.1;50.1;50.1
18;61.5;61.5;61.5;61.5;61.5;61.5
19;51.0;0.0;0.0;51.0;-1.6;0.0
20;3.6;0.0;5.0;-0.5;-1.2;7.0
21;0.0;0.0;0.0;16.9;0.5;16.3
22;36.3;36.3;50.0;4.6;4.6;4.6
23;4.8;0.0;-5.4;4.8;-5.4;4.8
24;0.0;0.0;0.7;3.6;1.5;3.6
25;-0.4;0.0;23.2;0.0;-0.4;0.0
26;10.5;0.0;3.5;0.0;2.5;-1.0
27;46.8;33.6;0.1;33.6;16.6;41.9
28;8.4;0.0;8.4;39.8;13.3;25.8
29;0.0;0.0;-7.8;0.0;-7.8;36.7
30;23.7;11.0;-8.3;11.0;4.4;34.1
31;33.0;0.0;0.0;33.0;53.4;0.0
32;12.9;42.5;12.9;-1.8;29.6;0.6
33;53.6;50.6;-2.0;3.1;6.5;3.1
34;-4.4;0.0;27.8;12.5;8.1;10.2
35;2.2;16.6;15.8;48.7;2.2;16.6
