0;1;2;3;4;5;6;7;8;9
2.6;4.0;0.0;2.6;37.1;0.0;17.7;15.1;9.8;15.1
17.3;3.0;9.1;7.9;9.1;61.3;3.0;9.1;70.0;61.3
5.2;1.5;5.2;7.6;28.2;6.0;2.4;4.6;4.8;6.9
-2.8;52.1;-2.8;12.9;1.0;10.5;0.0;-2.8;0.0;12.9
21.5;12.6;5.0;12.6;5.0;48.8;7.9;14.9;11.4;1.3
9.1;1.6;21.2;-2.9;3.2;0.0;-2.9;6.4;2.8;13.5
9.9;9.3;7.1;0.3;7.4;48.2;0.3;7.4;48.2;0.0
3.6;-2.9;-6.5;17.5;5.1;0.0;2.7;0.0;31.6;0.0
8.1;6.3;3.4;6.3;1.8;33.8;6.3;-2.7;0.0;2.2
-0.2;1.8;4.2;-0.9;-0.7;1.6;0.0;-0.2;28.3;8.9
5.6;0.3;5.4;0.2;9.7;2.9;0.3;5.4;38.8;2.9
4.5;22.8;12.1;39.4;4.5;22.8;28.7;4.5;7.6;28.7
5.5;20.5;5.5;36.8;5.5;20.5;19.3;0.0;2.8;3.5
6.7;15.1;9.2;4.1;2.3;11.2;0.0;0.4;41.0;12.0
2.3;2.3;4.8;12.6;27.9;0.0;11.1;2.3;0.0;0.0
6.7;6.0;5.1;6.7;5.1;5.5;1.6;5.1;6.5;39.7
18.3;18.7;11.5;20.5;7.8;0.0;19.7;35.0;-0.9;9.1
